date,channel,campaign,audience_segment,device,landing_page,impressions,clicks,cost_eur,conversions,revenue_eur,ctr,cpc,conversion_rate,cpa,roas
2026-04-06,Paid Search,Spring Promo,High-intent prospects,Mobile,/promo,18796,966,1292.63,82,7821.92,0.0514,1.34,0.0849,15.76,6.05
2026-04-06,Paid Search,Spring Promo,High-intent prospects,Desktop,/promo,17006,826,1094.32,74,6396.3,0.0486,1.32,0.0896,14.79,5.84
2026-04-06,Paid Social,New Collection Awareness,Lookalike audience,Mobile,/collection,28185,857,980.01,42,3244.72,0.0304,1.14,0.049,23.33,3.31
2026-04-06,Paid Social,New Collection Awareness,Lookalike audience,Desktop,/collection,25501,771,914.68,43,3133.94,0.0302,1.19,0.0558,21.27,3.43
2026-04-06,Email,Service Renewal,Existing customers,Mobile,/service-booking,9334,577,180.95,66,5472.36,0.0618,0.31,0.1144,2.74,30.24
2026-04-06,Email,Service Renewal,Existing customers,Desktop,/service-booking,8445,515,159.67,56,4485.65,0.061,0.31,0.1087,2.85,28.09
2026-04-06,Display,Store Locator Push,Local prospects,Mobile,/store-locator,30940,471,592.17,23,1592.52,0.0152,1.26,0.0488,25.75,2.69
2026-04-06,Display,Store Locator Push,Local prospects,Desktop,/store-locator,27994,434,567.32,22,1505.08,0.0155,1.31,0.0507,25.79,2.65
2026-04-13,Paid Search,Spring Promo,High-intent prospects,Mobile,/promo,21196,1045,1338.89,93,8104.55,0.0493,1.28,0.089,14.4,6.05
2026-04-13,Paid Search,Spring Promo,High-intent prospects,Desktop,/promo,19178,988,1319.43,84,7382.62,0.0515,1.34,0.085,15.71,5.6
2026-04-13,Paid Social,New Collection Awareness,Lookalike audience,Mobile,/collection,28967,866,1038.02,45,3504.04,0.0299,1.2,0.052,23.07,3.38
2026-04-13,Paid Social,New Collection Awareness,Lookalike audience,Desktop,/collection,26208,794,956.19,41,3388.29,0.0303,1.2,0.0516,23.32,3.54
2026-04-13,Email,Service Renewal,Existing customers,Mobile,/service-booking,10384,610,192.73,64,5496.98,0.0587,0.32,0.1049,3.01,28.52
2026-04-13,Email,Service Renewal,Existing customers,Desktop,/service-booking,9395,556,176.44,60,4870.33,0.0592,0.32,0.1079,2.94,27.6
2026-04-13,Display,Store Locator Push,Local prospects,Mobile,/store-locator,32625,498,662.93,26,1762.19,0.0153,1.33,0.0522,25.5,2.66
2026-04-13,Display,Store Locator Push,Local prospects,Desktop,/store-locator,29518,464,587.51,24,1619.93,0.0157,1.27,0.0517,24.48,2.76
