contact_id,acquisition_channel,signup_date,has_purchase,days_since_last_activity,consent_status,consent_source,page_views,key_page_views,email_clicks,form_submits,demo_request,webinar_signup
C00001,Email,2026-03-27,1,40,opted_in,event,15,2,4,1,1,0
C00002,Email,2026-03-12,1,57,opted_in,signup_form,17,2,5,1,1,0
C00003,Email,2026-02-17,1,52,opted_in,event,13,3,1,1,0,0
C00004,Email,2026-04-11,1,41,opted_in,newsletter,9,3,3,2,0,0
C00005,Email,2026-03-11,1,84,opted_in,import,16,3,4,0,0,0
C00006,Email,2026-02-15,1,33,opted_in,gated_content,7,3,0,1,0,0
C00007,Email,2026-01-02,1,151,opted_in,import,9,0,3,1,0,0
C00008,Email,2025-12-20,1,127,opted_in,event,12,2,0,0,1,1
C00009,Email,2026-05-25,1,20,opted_in,signup_form,13,2,4,2,1,0
C00010,Email,2026-03-21,1,54,opted_in,signup_form,10,2,4,0,0,0
C00011,Email,2026-03-06,1,38,opted_in,signup_form,7,0,3,0,0,0
C00012,Email,2026-04-21,1,57,opted_in,gated_content,13,3,6,2,1,0
C00013,Email,2026-05-08,1,40,opted_in,gated_content,24,4,5,2,1,0
C00014,Email,2026-01-08,1,152,opted_in,event,15,2,8,2,1,0
C00015,Email,2025-12-14,1,70,opted_in,newsletter,11,4,9,2,1,0
C00016,Email,2026-04-26,1,54,opted_in,newsletter,14,2,4,2,0,0
C00017,Email,2026-01-13,1,139,opted_in,signup_form,14,1,8,1,0,0
C00018,Email,2026-03-11,1,51,opted_out,newsletter,12,1,0,2,0,0
C00019,Email,2026-02-24,1,119,opted_in,gated_content,12,3,4,1,1,0
C00020,Email,2026-05-09,1,32,opted_in,newsletter,13,3,6,1,1,1
C00021,Email,2026-05-02,1,43,opted_in,gated_content,11,1,4,2,0,1
C00022,Email,2026-03-27,1,36,opted_in,import,12,1,7,3,0,0
C00023,Email,2026-01-21,1,51,opted_in,import,10,0,3,1,1,0
C00024,Email,2026-05-11,1,23,opted_in,gated_content,3,3,2,1,0,0
C00025,Email,2026-02-28,1,102,opted_in,event,7,2,2,0,1,0
C00026,Email,2026-01-22,1,114,opted_in,gated_content,11,4,2,0,1,0
C00027,Email,2025-12-04,1,186,opted_in,newsletter,16,4,6,2,1,0
C00028,Email,2026-05-02,1,35,opted_in,import,7,2,5,2,0,0
C00029,Email,2026-01-21,1,145,opted_in,newsletter,6,2,5,0,0,0
C00030,Email,2026-04-08,1,69,opted_in,event,10,5,1,1,0,0
C00031,Email,2026-01-21,1,103,opted_in,gated_content,9,1,7,1,0,0
C00032,Email,2025-12-06,1,74,opted_in,import,10,2,1,1,1,0
C00033,Email,2026-05-26,1,8,opted_in,gated_content,13,1,6,2,0,0
C00034,Email,2026-02-23,1,99,opted_in,gated_content,15,2,5,2,1,1
C00035,Email,2026-03-07,1,5,opted_in,import,10,2,6,0,0,0
C00036,Email,2026-01-21,1,95,opted_in,newsletter,10,3,6,2,0,0
C00037,Email,2026-05-24,1,19,opted_in,gated_content,15,5,2,2,0,0
C00038,Email,2026-04-02,1,47,opted_in,gated_content,9,1,2,1,0,0
C00039,Email,2026-05-17,1,23,opted_in,signup_form,9,3,1,1,0,0
C00040,Email,2026-05-23,1,24,opted_in,newsletter,11,2,9,1,0,0
C00041,Email,2026-01-10,1,121,opted_in,event,13,2,5,1,1,0
C00042,Email,2026-02-08,1,119,opted_in,event,6,2,5,1,0,1
C00043,Email,2026-04-20,1,48,opted_in,import,12,3,4,0,0,1
C00044,Email,2026-05-10,1,31,opted_in,event,15,5,6,2,1,0
C00045,Email,2025-12-21,1,169,opted_in,event,12,1,0,2,0,0
C00046,Email,2026-04-15,1,59,opted_in,event,17,2,5,1,0,0
C00047,Email,2026-05-12,1,34,opted_in,signup_form,15,1,8,1,1,0
C00048,Email,2026-05-24,1,15,opted_in,gated_content,15,2,7,2,0,1
C00049,Email,2025-12-02,1,196,opted_in,newsletter,9,4,5,2,0,0
C00050,Email,2026-03-17,1,35,opted_in,import,13,3,3,2,1,0
C00051,Email,2026-04-09,1,71,opted_in,newsletter,14,1,5,2,1,0
C00052,Email,2026-01-21,1,133,opted_in,event,3,1,0,0,0,1
C00053,Email,2026-05-25,1,15,opted_in,import,18,4,5,2,1,0
C00054,Email,2026-01-20,1,98,opted_in,event,12,1,6,0,0,0
C00055,Email,2026-04-13,1,28,opted_in,signup_form,18,3,3,2,1,1
C00056,Email,2026-01-27,1,96,opted_in,newsletter,10,2,6,2,1,0
C00057,Email,2025-12-02,1,187,opted_in,event,5,1,2,0,0,0
C00058,Email,2026-04-28,1,20,opted_in,gated_content,12,2,2,0,1,1
C00059,Email,2026-02-07,1,32,opted_in,newsletter,8,2,2,0,1,0
C00060,Email,2026-02-14,1,59,opted_in,gated_content,15,1,4,2,0,0
C00061,Email,2026-05-06,1,37,opted_in,import,13,3,8,1,1,0
C00062,Email,2026-01-05,1,155,opted_in,signup_form,19,2,7,0,0,0
C00063,Email,2026-04-23,1,11,opted_in,signup_form,8,2,5,1,0,0
C00064,Email,2025-12-25,1,117,opted_in,newsletter,11,3,5,2,1,0
C00065,Email,2026-01-04,1,54,opted_in,gated_content,10,2,5,1,0,1
C00066,Email,2025-12-11,1,144,opted_in,import,14,3,7,0,0,1
C00067,Email,2025-12-16,1,183,opted_in,signup_form,2,0,3,1,0,0
C00068,Email,2026-02-21,1,35,opted_in,newsletter,9,3,5,1,0,0
C00069,Email,2025-12-17,1,83,opted_in,import,18,3,2,2,1,0
C00070,Email,2026-01-04,1,160,opted_in,event,10,0,8,1,0,1
C00071,Email,2026-05-24,1,19,opted_in,event,5,2,0,0,0,1
C00072,Email,2026-02-02,1,127,opted_in,import,15,2,4,0,1,0
C00073,Email,2026-03-11,1,42,opted_in,newsletter,13,2,1,1,1,0
C00074,Email,2025-12-24,1,171,opted_in,event,8,3,6,2,1,0
C00075,Email,2026-04-12,1,43,opted_in,gated_content,8,3,6,1,1,0
C00076,Email,2026-03-04,1,97,opted_in,event,11,2,1,1,0,0
C00077,Email,2026-05-08,1,36,opted_in,event,12,0,3,0,0,0
C00078,Email,2026-02-01,1,96,opted_in,newsletter,17,3,5,1,1,0
C00079,Email,2026-03-13,1,49,opted_in,event,13,2,5,2,0,1
C00080,Email,2026-01-22,1,88,opted_in,gated_content,12,1,7,1,0,1
C00081,Email,2026-02-22,1,98,opted_in,import,5,3,0,0,1,0
C00082,Email,2026-03-20,1,62,opted_in,newsletter,20,5,8,2,1,0
C00083,Email,2025-12-13,1,112,opted_in,signup_form,14,2,5,3,1,0
C00084,Email,2026-03-07,1,105,opted_in,signup_form,14,3,5,1,0,0
C00085,Email,2026-01-04,1,147,opted_in,newsletter,10,2,4,3,0,1
C00086,Email,2026-05-17,1,23,opted_in,event,10,2,5,1,0,0
C00087,Email,2026-03-06,1,109,opted_in,signup_form,13,3,3,1,1,0
C00088,Email,2026-01-28,1,123,opted_in,newsletter,9,3,6,1,0,1
C00089,Email,2026-04-17,1,14,opted_in,import,18,2,5,2,0,0
C00090,Email,2026-05-13,1,1,opted_in,newsletter,9,3,6,1,0,0
C00091,Email,2026-03-15,1,79,opted_in,newsletter,17,0,4,1,1,0
C00092,Email,2026-02-07,1,50,opted_in,import,10,2,5,1,1,0
C00093,Email,2026-04-10,1,4,opted_in,newsletter,14,5,0,0,0,0
C00094,Email,2026-02-06,1,52,opted_in,signup_form,11,2,4,1,1,0
C00095,Email,2026-05-27,1,20,opted_out,import,9,1,0,0,0,0
C00096,Email,2025-12-11,1,171,opted_in,import,14,4,5,2,1,0
C00097,Email,2026-03-26,1,48,opted_in,event,10,2,1,1,1,0
C00098,Email,2026-01-27,1,55,opted_in,newsletter,6,1,2,0,1,0
C00099,Email,2025-12-02,1,187,opted_in,import,10,2,4,1,0,0
C00100,Email,2026-01-26,1,138,opted_in,newsletter,13,3,4,1,0,0
C00101,Email,2026-05-28,1,15,opted_in,import,12,1,4,1,1,1
C00102,Email,2026-03-16,1,79,opted_in,signup_form,7,3,3,1,1,1
C00103,Email,2026-05-25,1,13,opted_in,newsletter,14,3,1,2,0,0
C00104,Email,2026-05-26,1,5,opted_in,gated_content,5,1,3,0,0,1
C00105,Email,2026-01-13,1,150,opted_in,newsletter,16,2,4,0,1,1
C00106,Email,2026-05-14,1,29,opted_in,newsletter,10,2,2,0,0,0
C00107,Email,2026-01-06,1,147,opted_in,newsletter,15,3,7,0,1,0
C00108,Email,2026-01-18,1,99,opted_in,gated_content,13,2,3,0,1,1
C00109,Email,2026-02-22,1,106,opted_in,newsletter,11,2,4,0,0,0
C00110,Email,2026-02-12,1,110,opted_out,event,20,3,0,3,1,0
C00111,Email,2026-03-16,1,76,opted_in,event,10,5,5,2,0,0
C00112,Email,2025-12-09,1,183,opted_in,event,13,3,4,0,0,0
C00113,Email,2026-04-18,1,21,opted_in,signup_form,20,4,6,3,1,1
C00114,Email,2026-02-03,1,96,opted_in,signup_form,14,3,3,1,1,1
C00115,Email,2026-02-26,1,70,opted_in,import,3,3,3,0,1,0
C00116,Email,2026-02-17,1,45,opted_in,signup_form,4,2,4,0,0,0
C00117,Email,2026-01-12,1,106,opted_in,newsletter,14,2,3,1,1,0
C00118,Email,2026-02-10,1,72,opted_in,event,14,1,1,2,1,0
C00119,Email,2025-12-06,1,176,opted_in,newsletter,9,3,7,3,1,0
C00120,Email,2026-05-14,1,26,opted_in,import,7,3,4,1,1,0
C00121,Email,2026-05-12,1,45,opted_in,newsletter,12,2,1,2,0,0
C00122,Email,2026-02-07,1,44,opted_in,signup_form,14,2,7,1,1,0
C00123,Email,2026-04-11,1,72,opted_in,newsletter,10,4,3,2,0,0
C00124,Email,2026-03-20,1,39,opted_in,import,13,3,3,3,1,0
C00125,Email,2025-12-08,1,154,opted_in,gated_content,9,1,2,0,0,0
C00126,Email,2026-03-17,1,75,opted_in,import,9,2,1,1,0,0
C00127,Email,2025-12-22,1,160,opted_in,newsletter,9,3,6,0,1,0
C00128,Email,2026-04-21,1,48,opted_in,gated_content,21,2,6,2,0,1
C00129,Email,2026-01-20,1,140,opted_in,signup_form,9,2,1,2,0,0
C00130,Email,2026-01-16,1,107,opted_in,signup_form,15,3,3,0,1,0
C00131,Email,2025-12-27,1,156,opted_in,event,9,2,1,0,0,0
C00132,Email,2026-04-16,1,13,opted_in,import,8,1,3,1,0,0
C00133,Email,2026-01-17,1,21,opted_in,signup_form,13,3,4,0,1,1
C00134,Email,2026-01-15,1,120,opted_in,import,15,4,3,2,1,0
C00135,Email,2026-05-17,1,31,opted_in,signup_form,11,3,3,1,1,0
C00136,Email,2026-02-20,1,57,opted_in,gated_content,19,4,3,1,0,1
C00137,Email,2026-05-20,1,29,opted_in,gated_content,9,1,6,0,1,0
C00138,Email,2026-03-26,1,16,opted_out,import,7,3,0,0,0,0
C00139,Email,2026-03-27,1,78,opted_in,gated_content,10,0,0,0,0,0
C00140,Email,2026-02-28,1,27,opted_in,newsletter,10,1,6,1,1,0
C00141,Email,2026-02-16,1,19,opted_in,signup_form,11,2,1,2,1,0
C00142,Email,2026-05-16,1,15,opted_in,event,19,3,3,1,1,0
C00143,Email,2026-02-11,1,119,opted_in,import,16,1,4,1,1,1
C00144,Email,2026-04-04,1,25,opted_in,gated_content,12,1,0,1,0,0
C00145,Email,2026-01-08,1,157,opted_in,newsletter,18,1,2,2,0,1
C00146,Email,2025-12-11,1,109,opted_in,gated_content,17,2,9,1,0,0
C00147,Email,2026-03-20,1,72,opted_in,gated_content,11,2,6,0,0,0
C00148,Email,2026-01-23,1,130,opted_in,gated_content,17,3,5,3,0,0
C00149,Email,2026-02-11,1,38,opted_in,event,19,1,7,0,1,0
C00150,Email,2026-04-23,1,27,opted_in,signup_form,17,2,2,1,1,0
C00151,Organic Search,2026-02-03,1,119,opted_in,import,16,4,3,3,0,0
C00152,Organic Search,2026-01-12,1,116,opted_in,gated_content,9,3,4,0,1,0
C00153,Organic Search,2026-02-04,1,79,opted_in,signup_form,9,4,0,0,1,1
C00154,Organic Search,2026-01-13,1,145,opted_out,newsletter,12,2,0,1,0,0
C00155,Organic Search,2026-04-03,1,58,opted_in,event,6,1,1,1,0,0
C00156,Organic Search,2026-03-03,1,96,opted_in,event,11,0,6,0,1,0
C00157,Organic Search,2026-05-07,1,30,opted_in,import,13,6,5,1,1,0
C00158,Organic Search,2026-02-22,1,55,opted_in,gated_content,7,2,8,0,0,0
C00159,Organic Search,2026-02-01,1,74,opted_in,signup_form,6,1,3,0,1,0
C00160,Organic Search,2026-05-23,1,17,opted_in,import,19,3,5,3,1,0
C00161,Organic Search,2026-05-15,1,27,unknown,unknown,10,3,0,0,1,0
C00162,Organic Search,2026-04-12,1,60,opted_in,event,15,1,2,1,1,0
C00163,Organic Search,2026-03-14,1,34,opted_in,gated_content,11,0,1,0,0,0
C00164,Organic Search,2026-05-02,1,17,opted_in,newsletter,13,3,4,0,1,0
C00165,Organic Search,2025-12-17,1,181,opted_in,event,12,3,0,1,0,0
C00166,Organic Search,2025-12-17,1,171,opted_in,signup_form,14,2,5,1,1,0
C00167,Organic Search,2025-12-01,1,174,opted_in,import,14,1,5,1,0,0
C00168,Organic Search,2026-05-16,1,23,opted_in,event,11,1,4,2,1,0
C00169,Organic Search,2026-01-15,1,160,opted_in,import,23,3,3,2,1,0
C00170,Organic Search,2026-01-07,1,144,opted_in,event,8,2,4,2,0,0
C00171,Organic Search,2026-01-14,1,35,opted_in,event,12,2,6,2,0,1
C00172,Organic Search,2026-05-04,1,27,opted_in,signup_form,7,4,2,0,1,0
C00173,Organic Search,2026-04-25,1,54,opted_in,signup_form,15,4,4,1,0,1
C00174,Organic Search,2026-05-18,1,24,opted_in,gated_content,8,2,5,1,0,0
C00175,Organic Search,2026-01-25,1,133,opted_in,import,7,3,5,2,1,0
C00176,Organic Search,2026-03-05,1,88,opted_in,signup_form,5,2,6,0,1,0
C00177,Organic Search,2025-12-19,1,117,opted_in,gated_content,11,3,6,1,1,0
C00178,Organic Search,2026-02-13,1,77,opted_in,gated_content,11,1,5,0,1,0
C00179,Organic Search,2026-05-15,1,26,opted_in,newsletter,10,2,5,2,0,0
C00180,Organic Search,2026-01-21,1,117,opted_out,import,10,2,0,1,1,1
C00181,Organic Search,2026-01-11,1,119,opted_in,signup_form,10,3,3,2,0,1
C00182,Organic Search,2026-03-24,1,40,opted_in,event,13,2,6,1,1,0
C00183,Organic Search,2026-02-16,1,85,opted_in,event,11,2,2,1,0,0
C00184,Organic Search,2026-05-09,1,22,opted_in,import,6,0,4,0,0,0
C00185,Organic Search,2025-12-11,1,83,opted_in,newsletter,12,3,6,2,0,0
C00186,Organic Search,2026-02-21,1,101,opted_in,event,11,2,4,1,0,1
C00187,Organic Search,2026-04-06,1,67,opted_in,event,11,2,3,1,0,1
C00188,Organic Search,2026-01-11,1,111,opted_in,newsletter,11,5,2,2,0,1
C00189,Organic Search,2026-01-28,1,129,opted_in,gated_content,11,2,0,2,1,0
C00190,Organic Search,2025-12-26,1,171,opted_in,gated_content,11,2,4,1,0,0
C00191,Organic Search,2026-05-15,1,10,opted_in,event,13,1,5,0,1,0
C00192,Organic Search,2026-05-05,1,31,opted_in,newsletter,4,1,1,0,0,0
C00193,Organic Search,2025-12-13,1,150,opted_in,newsletter,18,2,4,2,1,0
C00194,Organic Search,2026-05-06,1,25,opted_in,gated_content,14,3,3,1,0,1
C00195,Organic Search,2025-12-10,1,184,opted_in,newsletter,9,3,6,0,1,0
C00196,Organic Search,2026-02-19,1,101,opted_in,gated_content,8,2,2,0,1,0
C00197,Organic Search,2026-04-23,1,50,opted_in,gated_content,11,2,5,1,0,0
C00198,Organic Search,2025-12-22,1,164,opted_in,signup_form,10,4,6,0,0,0
C00199,Organic Search,2026-04-21,1,12,opted_in,newsletter,13,4,4,2,0,0
C00200,Organic Search,2025-12-28,1,138,opted_in,gated_content,14,4,6,1,1,0
C00201,Organic Search,2026-01-09,1,142,opted_in,newsletter,7,1,5,1,0,0
C00202,Organic Search,2026-01-15,1,139,opted_in,import,17,0,5,0,1,1
C00203,Organic Search,2026-04-28,1,35,opted_in,import,8,2,3,2,0,0
C00204,Organic Search,2026-04-21,1,42,opted_in,import,13,3,1,1,1,0
C00205,Organic Search,2026-03-15,1,87,opted_in,signup_form,16,0,6,0,0,0
C00206,Organic Search,2026-03-05,1,41,opted_in,signup_form,8,3,3,1,0,0
C00207,Organic Search,2026-03-14,1,18,opted_in,import,6,3,5,2,1,0
C00208,Organic Search,2026-04-03,1,35,opted_in,gated_content,13,4,4,3,1,0
C00209,Organic Search,2026-04-20,1,48,opted_in,event,16,4,5,2,1,0
C00210,Organic Search,2026-05-24,1,26,opted_in,gated_content,9,1,4,0,1,0
C00211,Organic Search,2026-01-13,1,44,opted_in,newsletter,12,2,1,0,0,0
C00212,Organic Search,2026-04-07,1,32,opted_in,import,18,3,0,1,1,0
C00213,Organic Search,2026-01-21,1,100,opted_in,signup_form,15,4,4,3,0,1
C00214,Organic Search,2026-02-15,1,111,opted_in,newsletter,8,2,6,0,1,0
C00215,Organic Search,2026-02-07,1,118,opted_out,import,13,4,0,0,1,1
C00216,Organic Search,2026-03-14,1,82,opted_in,import,3,3,3,1,0,0
C00217,Organic Search,2025-12-09,1,186,opted_in,newsletter,15,2,5,2,1,0
C00218,Organic Search,2026-02-13,1,70,opted_in,newsletter,10,1,7,2,0,0
C00219,Organic Search,2026-01-13,1,152,opted_in,signup_form,13,2,6,1,0,0
C00220,Organic Search,2026-02-12,1,103,opted_in,gated_content,7,0,5,2,1,0
C00221,Organic Search,2026-04-22,1,5,opted_in,signup_form,10,2,3,2,0,0
C00222,Organic Search,2026-03-11,1,83,opted_in,newsletter,9,3,5,2,0,0
C00223,Organic Search,2026-02-09,1,115,opted_in,import,6,3,1,1,0,0
C00224,Organic Search,2026-04-16,1,53,opted_in,import,14,2,5,1,0,0
C00225,Organic Search,2025-12-14,1,179,opted_in,import,10,1,0,2,0,1
C00226,Organic Search,2026-05-06,1,41,opted_in,newsletter,15,3,2,1,0,0
C00227,Organic Search,2026-05-05,1,35,opted_in,import,9,1,7,1,0,1
C00228,Organic Search,2026-01-01,1,163,opted_in,signup_form,14,2,4,1,1,0
C00229,Organic Search,2026-02-13,1,41,unknown,unknown,7,2,0,0,0,0
