customer_id,consent_status,consent_source,page_views,key_page_views,email_clicks,form_submits,demo_request,webinar_signup
12346,opted_in,signup_form,10,2,3,1,0,0
12347,opted_in,event,9,0,3,0,0,0
12348,opted_in,newsletter,0,0,2,0,0,0
12349,opted_in,gated_content,16,1,6,1,1,1
12350,opted_in,gated_content,9,2,4,1,1,0
12351,opted_out,gated_content,2,0,0,0,0,0
12352,opted_in,event,15,1,2,1,0,1
12353,opted_in,gated_content,13,2,3,2,1,0
12354,opted_in,event,7,2,3,0,0,0
12355,unknown,unknown,6,2,0,0,0,0
12356,opted_in,signup_form,7,0,5,1,1,0
12357,opted_in,newsletter,7,2,1,0,0,0
12358,opted_in,event,7,3,5,0,0,0
12359,unknown,unknown,6,1,0,1,0,0
12360,opted_in,import,10,1,0,1,0,0
12361,opted_in,newsletter,12,2,4,2,1,0
12362,opted_in,signup_form,3,2,1,0,0,0
12363,unknown,unknown,4,3,0,0,0,0
12364,unknown,unknown,3,1,0,1,0,0
12365,opted_in,signup_form,18,3,2,0,0,0
12366,opted_in,signup_form,6,1,0,1,0,0
12367,opted_in,newsletter,12,2,0,1,0,0
12368,opted_in,import,7,0,3,1,1,0
12369,opted_in,newsletter,17,0,8,1,0,0
12370,opted_in,gated_content,6,2,2,1,0,0
12371,opted_in,signup_form,7,1,6,1,1,0
12372,unknown,unknown,5,1,0,0,0,1
12373,opted_in,event,1,0,1,0,0,0
12374,unknown,unknown,14,1,0,1,0,0
12375,opted_in,event,4,1,4,1,0,0
12376,opted_in,import,7,0,3,0,0,0
12377,opted_in,gated_content,10,1,3,0,0,1
12378,unknown,unknown,8,1,0,1,0,0
12379,opted_in,import,8,2,5,1,0,1
12380,opted_out,event,13,3,0,2,0,1
12381,opted_in,gated_content,3,2,4,0,0,0
12383,opted_in,gated_content,11,2,4,1,0,0
12384,opted_in,gated_content,10,2,2,3,0,0
12385,opted_in,newsletter,6,1,4,1,0,0
12386,unknown,unknown,10,1,0,1,0,0
12387,opted_in,event,0,0,3,0,0,0
12388,opted_in,newsletter,2,0,5,0,0,0
12389,opted_in,event,7,1,3,2,0,0
12390,opted_out,gated_content,10,3,0,1,0,0
12391,opted_out,import,5,2,0,0,0,0
12392,unknown,unknown,10,2,0,1,0,0
12393,opted_in,gated_content,13,1,1,2,0,0
12394,opted_in,newsletter,12,0,0,1,1,0
12395,opted_in,signup_form,5,4,4,0,0,1
12396,opted_out,gated_content,5,2,0,0,1,0
12397,opted_in,import,8,2,0,1,1,0
12398,opted_in,import,6,1,5,0,0,0
12399,opted_in,event,8,3,7,0,0,0
12400,unknown,unknown,5,4,0,0,0,0
12401,opted_out,gated_content,1,0,0,0,0,0
12402,opted_in,import,8,2,5,2,0,0
12403,opted_in,import,2,1,3,1,0,0
12404,opted_in,newsletter,14,2,7,2,1,0
12405,opted_out,newsletter,0,0,0,2,0,0
12406,opted_out,gated_content,11,2,0,1,0,0
12407,opted_in,gated_content,11,1,3,0,1,0
12408,opted_in,signup_form,11,2,4,2,1,0
12409,opted_in,event,9,0,4,1,1,0
12410,opted_in,event,5,0,4,0,0,0
12411,unknown,unknown,12,2,0,0,0,0
12412,opted_in,signup_form,8,2,6,1,0,0
12413,opted_in,gated_content,13,1,4,0,1,0
12414,opted_in,newsletter,7,3,4,0,0,0
12415,opted_in,gated_content,2,1,1,0,0,0
12416,opted_in,import,4,0,4,1,0,0
12417,unknown,unknown,6,2,0,0,0,0
12418,opted_in,gated_content,4,0,3,0,1,0
12419,opted_in,signup_form,5,3,0,1,1,0
12420,opted_in,event,4,1,1,1,0,1
12421,opted_in,event,9,0,3,1,0,0
12422,opted_in,signup_form,4,1,1,0,0,0
12423,unknown,unknown,7,2,0,1,1,1
12424,opted_in,newsletter,7,1,0,1,0,0
12425,opted_in,event,10,2,4,2,0,0
12426,opted_in,gated_content,2,2,0,1,0,0
12427,opted_in,gated_content,7,0,6,0,0,0
12428,opted_in,signup_form,11,0,4,0,1,0
12429,unknown,unknown,10,1,0,2,0,0
