customer_id,acquisition_channel,cohort_month,signup_date,order_id,order_date,order_value_eur
C00001,Email,2026-03,2026-03-27,C00001-1,2026-03-27,75.01
C00001,Email,2026-03,2026-03-27,C00001-2,2026-04-03,153.4
C00001,Email,2026-03,2026-03-27,C00001-3,2026-04-25,61.68
C00002,Email,2026-03,2026-03-12,C00002-1,2026-03-12,50.83
C00002,Email,2026-03,2026-03-12,C00002-2,2026-04-11,132.77
C00003,Email,2026-02,2026-02-17,C00003-1,2026-02-17,99.21
C00003,Email,2026-02,2026-02-17,C00003-2,2026-03-15,116.84
C00003,Email,2026-02,2026-02-17,C00003-3,2026-04-21,112.76
C00004,Email,2026-04,2026-04-11,C00004-1,2026-04-11,108.49
C00004,Email,2026-04,2026-04-11,C00004-2,2026-04-26,72.46
C00005,Email,2026-03,2026-03-11,C00005-1,2026-03-11,80.7
C00006,Email,2026-02,2026-02-15,C00006-1,2026-02-15,90.87
C00006,Email,2026-02,2026-02-15,C00006-2,2026-03-16,104.16
C00006,Email,2026-02,2026-02-15,C00006-3,2026-04-29,80.22
C00007,Email,2026-01,2026-01-02,C00007-1,2026-01-02,90.87
C00008,Email,2025-12,2025-12-20,C00008-1,2025-12-20,93.94
C00008,Email,2025-12,2025-12-20,C00008-2,2026-01-31,122.14
C00009,Email,2026-05,2026-05-25,C00009-1,2026-05-25,48.3
C00010,Email,2026-03,2026-03-21,C00010-1,2026-03-21,74.66
C00010,Email,2026-03,2026-03-21,C00010-2,2026-04-10,72.62
C00010,Email,2026-03,2026-03-21,C00010-3,2026-04-17,127.73
C00011,Email,2026-03,2026-03-06,C00011-1,2026-03-06,65.12
C00011,Email,2026-03,2026-03-06,C00011-2,2026-03-25,23.53
C00011,Email,2026-03,2026-03-06,C00011-3,2026-04-26,117.96
C00012,Email,2026-04,2026-04-21,C00012-1,2026-04-21,79.49
C00013,Email,2026-05,2026-05-08,C00013-1,2026-05-08,56.68
C00014,Email,2026-01,2026-01-08,C00014-1,2026-01-08,73.48
C00015,Email,2025-12,2025-12-14,C00015-1,2025-12-14,90.02
C00015,Email,2025-12,2025-12-14,C00015-2,2026-01-13,45.02
